np.sum  np.ndarray.sum
np.mean  np.ndarray.mean
np.max  np.ndarray.max
np.min  np.ndarray.min
np.std  np.ndarray.std
np.var  np.ndarray.var
np.prod  np.ndarray.prod
np.all  np.ndarray.all
np.any  np.ndarray.any
np.sort  np.ndarray.sort
np.argsort  np.ndarray.argsort
np.unique  np.ndarray.unique
np.reshape  np.ndarray.reshape
np.flatten  np.ndarray.flatten
np.ravel  np.ndarray.ravel
pd.DataFrame  pd.DataFrame.from_dict
df.isna  df.isnull
scipy.stats.pearsonr  numpy.corrcoef
tf.nn.softmax  tf.keras.activations.softmax
torch.add  torch.Tensor.add
torch.matmul  torch.Tensor.matmul
torch.sum  torch.Tensor.sum
torch.mean  torch.Tensor.mean
torch.cat  torch.Tensor.cat
torch.stack  torch.Tensor.stack
torch.transpose  torch.Tensor.transpose
torch.reshape  torch.Tensor.reshape
torch.flatten  torch.Tensor.flatten
torch.squeeze  torch.Tensor.squeeze
torch.unsqueeze  torch.Tensor.unsqueeze
torch.clamp  torch.Tensor.clamp
torch.abs  torch.Tensor.abs
torch.exp  torch.Tensor.exp
torch.log  torch.Tensor.log
torch.sqrt  torch.Tensor.sqrt
torch.argmin  torch.Tensor.argmin
