numpy.dot  numpy.matmul
numpy.concatenate  numpy.stack
numpy.array_equal  numpy.allclose
numpy.zeros  numpy.full
numpy.ones  numpy.full
numpy.linspace  numpy.arange
DataFrame.copy  DataFrame.loc
DataFrame.drop  DataFrame.loc
DataFrame.rename  DataFrame.set_axis
DataFrame.sort_values  DataFrame.sort_index
DataFrame.fillna  DataFrame.replace
DataFrame.to_numpy  DataFrame.values
DataFrame.reset_index  DataFrame.set_index
DataFrame.mean  DataFrame.aggregate
DataFrame.sum  DataFrame.aggregate
DataFrame.dropna  DataFrame[DataFrame.notna().all(axis=1)]
DataFrame.replace  DataFrame.applymap
DataFrame.astype  DataFrame.apply
sklearn.decomposition.PCA.fit_transform  sklearn.decomposition.TruncatedSVD.fit_transform
sklearn.metrics.accuracy_score  sklearn.metrics.classification_report
sklearn.metrics.confusion_matrix  sklearn.metrics.multilabel_confusion_matrix
sklearn.preprocessing.LabelEncoder.fit_transform  sklearn.preprocessing.OrdinalEncoder.fit_transform
sklearn.preprocessing.OneHotEncoder.fit_transform  sklearn.preprocessing.LabelBinarizer.fit_transform
sklearn.impute.SimpleImputer.fit_transform  sklearn.preprocessing.FunctionTransformer.fit_transform
scipy.linalg.inv  numpy.linalg.inv
scipy.linalg.det  numpy.linalg.det
scipy.linalg.eig  numpy.linalg.eig
scipy.stats.norm.pdf  scipy.stats.norm.logpdf
scipy.stats.norm.cdf  scipy.stats.norm.logcdf
cipy.stats.zscore  scipy.stats.normalize
scipy.spatial.distance.euclidean  numpy.linalg.norm
scipy.spatial.distance.cosine  scipy.spatial.distance.cdist
scipy.optimize.minimize  scipy.optimize.fmin_bfgs
scipy.signal.convolve  numpy.convolve
scipy.signal.correlate  numpy.correlate
scipy.stats.pearsonr  numpy.corrcoef
scipy.stats.ttest_ind  scipy.stats.ttest_rel
scipy.stats.mode  scipy.stats.multimode
scipy.stats.iqr  numpy.percentile
scipy.stats.skew  scipy.stats.moment
scipy.stats.kurtosis  scipy.stats.moment
scipy.stats.binom.pmf  scipy.stats.binom.logpmf
scipy.stats.poisson.pmf  scipy.stats.poisson.logpmf
scipy.stats.norm.rvs  numpy.random.normal
scipy.stats.percentileofscore  numpy.percentile
scipy.stats.ttest_1samp  scipy.stats.ttest_ind
scipy.stats.chisquare  scipy.stats.power_divergence
tf.zeros  tf.fill
tf.ones  tf.fill
tf.concat  tf.stack
torch.matmul  torch.mm
torch.cat  torch.stack
torch.zeros  torch.full
torch.reshape  torch.view
