numpy.sum   numpy.ndarray.sum
numpy.mean   numpy.ndarray.mean
numpy.std   numpy.ndarray.std
numpy.var   numpy.ndarray.var
numpy.min   numpy.ndarray.min
numpy.max   numpy.ndarray.max
numpy.prod   numpy.ndarray.prod
numpy.argmin   numpy.ndarray.argmin
numpy.argmax   numpy.ndarray.argmax
numpy.all   numpy.ndarray.all
numpy.any   numpy.ndarray.any
numpy.copy   numpy.ndarray.copy
numpy.sort   numpy.ndarray.sort
numpy.argsort   numpy.ndarray.argsort
numpy.reshape   numpy.ndarray.reshape
numpy.transpose   numpy.ndarray.transpose
numpy.flatten   numpy.ndarray.flatten
numpy.ravel   numpy.ndarray.ravel
numpy.diagonal   numpy.ndarray.diagonal
numpy.trace   numpy.ndarray.trace
numpy.dot   numpy.ndarray.dot
numpy.matmul   numpy.ndarray.__matmul__
numpy.identity   numpy.eye
DataFrame.head   DataFrame.iloc
DataFrame.tail   DataFrame.iloc
DataFrame.isnull()   DataFrame.isna
DataFrame.notnull   DataFrame.notna
sklearn.preprocessing.StandardScaler.fit_transform   sklearn.preprocessing.scale
sklearn.preprocessing.MinMaxScaler.fit_transform   sklearn.preprocessing.minmax_scale
sklearn.preprocessing.Binarizer.fit_transform   sklearn.preprocessing.binarize
scipy.fft.fft   numpy.fft.fft
scipy.fft.ifft   numpy.fft.ifft
tf.add   tf.math.add
tf.multiply   tf.math.multiply
tf.subtract   tf.math.subtract
tf.divide   tf.math.divide
tf.reduce_sum   tf.math.reduce_sum
tf.reshape   tf.Tensor.reshape
