numpy.ndarray.flatten  numpy.ndarray.ravel
numpy.reshape  numpy.ndarray.resize
numpy.squeeze  a.reshape(new_shape)
numpy.concatenate  numpy.vstack
numpy.concatenate  numpy.hstack
numpy.column_stack  numpy.hstack
numpy.stack  numpy.array
numpy.ndarray.all  numpy.ndarray.reshape
numpy.dot  numpy.matmul
numpy.multiply  a * b
numpy.power  numpy.square
numpy.mean  numpy.average
numpy.where  numpy.nonzero
numpy.argmin  numpy.argsort
numpy.unique  numpy.sort
numpy.zeros_like  numpy.zeros
numpy.empty_like  numpy.empty
numpy.expand_dims  numpy.newaxis
numpy.empty  numpy.ndarray
numpy.inner  numpy.sum
numpy.ndarray.size  numpy.prod
pandas.DataFrame.loc  pandas.DataFrame.query
pandas.DataFrame.at  pandas.DataFrame.loc
pandas.DataFrame.iat  pandas.DataFrame.iloc
pandas.DataFrame.fillna  pandas.DataFrame.replace
pandas.DataFrame.dropna  pandas.DataFrame.drop
pandas.DataFrame.mean  pandas.DataFrame.apply
pandas.DataFrame.sum  pandas.DataFrame.agg
pandas.DataFrame.count  pandas.DataFrame.agg
pandas.DataFrame.groupby  pd.pivot_table
pandas.DataFrame.sort_values  pandas.DataFrame.iloc
pandas.DataFrame.drop  pandas.DataFrame.reindex
pandas.DataFrame.assign  pandas.DataFrame.insert
pandas.concat  pandas.DataFrame.join
pandas.DataFrame.append  pd.concat
scipy.integrate.quad  scipy.integrate.fixed_quad
scipy.integrate.trapezoid  scipy.integrate.simpson
scipy.integrate.odeint  scipy.integrate.solve_ivp
scipy.optimize.minimize  scipy.optimize.fmin_bfgs
scipy.optimize.root  scipy.optimize.fsolve
scipy.optimize.least_squares  scipy.optimize.leastsq
scipy.stats.norm.ppandas.DataFrame  numpy.exp
scipy.stats.ttest_ind  scipy.stats.stats.weightstats.ttest_ind
scipy.signal.convolve  scipy.signal.fftconvolve
scipy.sparse.csc_matrix  scipy.sparse.csr_matrix
scipy.sparse.linalg.spsolve  scipy.sparse.linalg.inv
tf.reshape  tf.squeeze
tf.concat  tf.stack
tf.reduce_mean  tf.math.divide
tf.abs  tf.math.maximum
tf.math.pow  tf.square
tf.ones_like  tf.ones
tf.range  tf.linspace
torch.cat  torch.stack
torch.zeros_like  torch.zeros
torch.nn.functional.relu  torch.maximum
torch.mean  torch.Tensor.numel
torch.arange  torch.linspace
keras.layers.Flatten  keras.ops.reshape
keras.layers.Reshape  keras.ops.reshape
keras.utils.to_categorical  keras.ops.one_hot
keras.Sequential  keras.Model
sklearn.preprocessing.LabelEncoder().fit_transform  pandas.factorize
sklearn.preprocessing.OneHotEncoder().fit_transform  pandas.get_dummies
sklearn.decomposition.PCA  numpy.linalg.svd
